Parent 3,Parent 2,Parent 1,Leaf,Value,Body
,,,Multidisciplinary expertise and leadership,5,"Employ multidisciplinary expertise and leadership, blending innovation, strategic insight, and a passion for lifelong learning to excel across arts, business, academics, technology, and more. My diverse skill set enables me to navigate complex challenges, create compelling outcomes, and drive projects forward with creativity and precision. This comprehensive approach fosters cross-disciplinary connections and delivers impactful solutions. I invite you to explore the specific nodes and leaves within this matrix to discover more about my unique contributions and the depth of my experiences across various fields."
Arts,Graphic design,,Document design,4,"Expertly design a wide range of documents including tutorials, training materials, newsletters, and invitations, focusing on layout, typography, and visual impact to enhance reader engagement and comprehension."
Arts,Graphic design,,Fontography,3,"Demonstrate extensive experience with various fonts, focusing on manipulation, spacing, ligatures, and understanding of Unicode and ASCII, to enhance text presentation, readability, and aesthetic appeal."
Arts,Graphic design,,Graphic design,3,"Possess a strong grasp of graphic design principles, applying them to create visually compelling designs that effectively communicate messages and meet project objectives."
Arts,Graphic design,,Raster graphics,3,"Skillfully perform advanced manipulation, resizing, and design of raster graphics using Photoshop and GIMP, creating high-quality visuals for diverse applications."
Arts,Graphic design,,Vector graphics,3,"Expertly create a range of vector graphics using Inkscape, Illustrator, and Sketchup, focusing on advanced techniques such as transparency and layers. Received recognition for design excellence with a company award."
Arts,Language arts,,Linguistics,2,"Possess a working knowledge of linguistic principles including IPA, grammatical structure, and morphology, including knowledge of Sino-Tibetan (Mandarin Chinese, Min, Atayal), Balto-Slavic (Russian), and Germanic (English, German) languages."
Arts,Language arts,,Poetry,3,"Compose poetry and prose-poems using a variety of poetic forms. Authored and published a <a title=""Half Light"" href=""https://www.blurb.com/b/1270432-half-light"">book of original poetry</a>, collaborating with a watercolor artist to blend visual and textual artistry. One poem published in national poetry periodical."
Arts,Language arts,,Proofreading & editing,5,"Expertly edit and proofread a diverse array of materials including policies, contracts, marketing content, and educational resources, ensuring accuracy and clarity. Notably provided editing support for a doctoral dissertation, demonstrating a high level of precision and attention to detail, as well as a deep understanding of academic standards and requirements. Reviewed, proofread, and fact-checked more than 50 e-learning courses."
Arts,Language arts,,Standard American English grammar,4,Possess thorough understanding of Standard American English grammar and syntax.
Arts,Language arts,,Text transcription,3,Fluently use audio transcription tools to compose faithful and syntactically accurate transcriptions. Transcribed audio history projects and e-learning courses for publication and closed captioning.
